rating_id,user_id,movie_id,rating
7254,44,3,5
4735,24,6,5
6770,39,10,5
3115,19,14,5
3116,19,16,5
5055,30,16,5
6771,39,16,5
22,2,17,5
4977,28,21,5
5057,30,21,5
3062,18,25,5
584,8,32,5
3063,18,32,5
6317,34,32,5
6528,36,32,5
149,4,34,5
703,9,36,5
23,2,39,5
586,8,47,5
981,15,47,5
2697,17,47,5
3129,19,47,5
6319,34,47,5
587,8,50,5
745,10,50,5
791,11,50,5
982,15,50,5
2698,17,50,5
5065,30,50,5
6320,34,50,5
5066,30,52,5
4978,28,58,5
6536,36,58,5
7260,44,62,5
6778,39,70,5
4955,27,73,5
7299,46,73,5
986,15,82,5
503,7,110,5
5071,30,110,5
6133,32,110,5
6781,39,110,5
7148,43,110,5
993,15,111,5
2699,17,111,5
3146,19,111,5
4025,23,111,5
150,4,112,5
151,4,141,5
998,15,149,5
30,2,150,5
5075,30,150,5
6134,32,150,5
5077,30,161,5
3157,19,162,5
6786,39,162,5
6787,39,165,5
6792,39,180,5
2704,17,198,5
6794,39,198,5
38,2,222,5
6545,36,223,5
3175,19,230,5
6143,32,231,5
6546,36,232,5
2706,17,235,5
1029,15,246,5
155,4,260,5
509,7,260,5
1033,15,260,5
6555,36,260,5
3184,19,262,5
45,2,265,5
6557,36,265,5
46,2,266,5
5095,30,282,5
3190,19,288,5
6147,32,292,5
455,6,293,5
1037,15,293,5
6563,36,293,5
157,4,296,5
795,11,296,5
1038,15,296,5
2711,17,296,5
3193,19,296,5
3804,22,296,5
4741,24,296,5
5097,30,296,5
6329,34,296,5
6662,38,296,5
6803,39,296,5
7076,42,296,5
5098,30,300,5
1040,15,306,5
3195,19,306,5
6566,36,306,5
3196,19,307,5
6567,36,307,5
3197,19,308,5
6568,36,308,5
6570,36,315,5
102,3,318,5
512,7,318,5
592,8,318,5
2713,17,318,5
4048,23,318,5
5100,30,318,5
7077,42,318,5
6572,36,321,5
3200,19,326,5
6806,39,328,5
5101,30,337,5
6331,34,337,5
4980,28,345,5
5103,30,348,5
159,4,349,5
5104,30,349,5
6155,32,349,5
6812,39,353,5
7300,46,355,5
104,3,356,5
160,4,356,5
896,13,356,5
3217,19,356,5
5106,30,356,5
6157,32,356,5
7153,43,356,5
161,4,357,5
3218,19,357,5
162,4,364,5
6627,37,364,5
6814,39,380,5
5116,30,412,5
6584,36,412,5
5122,30,428,5
5128,30,454,5
1074,15,457,5
5129,30,457,5
6169,32,457,5
7081,42,457,5
3251,19,465,5
5134,30,474,5
172,4,480,5
6170,32,480,5
7082,42,480,5
6335,34,482,5
2720,17,492,5
3549,20,497,5
3265,19,501,5
5141,30,508,5
5142,30,509,5
3271,19,515,5
5143,30,515,5
597,8,527,5
708,9,527,5
3660,21,527,5
4958,27,527,5
5147,30,527,5
6069,31,527,5
6602,36,527,5
7157,43,527,5
3278,19,531,5
709,9,534,5
3279,19,534,5
173,4,541,5
1092,15,541,5
2722,17,541,5
6899,41,541,5
598,8,543,5
1094,15,549,5
84,2,551,5
3813,22,551,5
6171,32,553,5
5157,30,555,5
6338,34,555,5
86,2,585,5
174,4,588,5
5162,30,588,5
90,2,589,5
175,4,589,5
3666,21,589,5
3818,22,589,5
6173,32,589,5
6342,34,589,5
7086,42,589,5
91,2,590,5
5164,30,590,5
6174,32,590,5
92,2,592,5
1106,15,593,5
177,4,594,5
3296,19,595,5
5168,30,595,5
6628,37,595,5
178,4,596,5
3297,19,596,5
369,5,597,5
711,9,608,5
1109,15,608,5
3300,19,608,5
5171,30,608,5
7161,43,608,5
6826,39,611,5
180,4,616,5
5172,30,628,5
5174,30,647,5
3821,22,648,5
6828,39,662,5
6348,34,678,5
538,7,720,5
3560,20,720,5
7301,46,724,5
542,7,745,5
3562,20,745,5
3315,19,750,5
3676,21,750,5
5027,29,778,5
6619,36,778,5
3564,20,780,5
7272,44,780,5
1134,15,800,5
4771,25,802,5
5186,30,805,5
181,4,858,5
603,8,858,5
1141,15,858,5
2731,17,858,5
3325,19,858,5
4094,23,858,5
5189,30,858,5
3328,19,898,5
4981,28,898,5
5191,30,898,5
1143,15,899,5
4982,28,899,5
4983,28,902,5
182,4,903,5
1144,15,903,5
2733,17,903,5
7280,45,903,5
1145,15,904,5
3331,19,904,5
1146,15,908,5
2735,17,908,5
4101,23,908,5
4986,28,908,5
3333,19,911,5
1150,15,912,5
3683,21,912,5
4105,23,912,5
5196,30,912,5
6352,34,912,5
6630,37,912,5
184,4,913,5
2738,17,913,5
3335,19,913,5
5197,30,913,5
6353,34,913,5
3685,21,914,5
3338,19,916,5
185,4,919,5
4989,28,920,5
5200,30,920,5
6631,37,920,5
5201,30,921,5
2739,17,922,5
5202,30,922,5
798,11,923,5
1157,15,923,5
3341,19,923,5
3690,21,923,5
4110,23,923,5
5203,30,923,5
6355,34,923,5
1158,15,924,5
6356,34,924,5
6910,41,924,5
4991,28,926,5
3343,19,928,5
5205,30,928,5
6357,34,940,5
3350,19,951,5
3351,19,953,5
3695,21,953,5
4122,23,954,5
3356,19,968,5
3357,19,969,5
3697,21,969,5
